experiment,percentDEInCat,term,genes
enriched_vs_control,6.060606061,organelle,gene481; gene1671; gene3848; gene4263; gene4519; gene5759; gene6248; gene6392; gene6393; gene6394; gene7332; gene7783; gene8055; gene8804; gene8893; gene8933; gene8935; gene10364; gene10619; gene10621; gene10622; gene10623; gene10624; gene11896; gene12511; gene12517; gene14777; gene14780; gene16240; gene17827; gene22731; gene25670; gene26311; gene512_5de57afd
enriched_vs_control,33.33333333,organelle,gene1867; gene5308; gene11540
enriched_vs_control,100,organelle,gene1867
enriched_vs_control,7.692307692,plasma membrane,gene3908; gene6248; gene7332; gene8055; gene8120; gene8893; gene8935; gene10364; gene10619; gene10620; gene10623; gene11896; gene12509; gene12511; gene12512; gene12517; gene12736; gene13365; gene14942; gene17736; gene17738; gene17826; gene17827; gene525_5de57afd; gene1215; gene1216; gene21610
enriched_vs_control,100,plasma membrane,gene19246; gene582_5de57afd
enriched_vs_control,6.52173913,binding,gene1039; gene1126; gene1932; gene2435; gene3290; gene3695; gene3978; gene4511; gene4724; gene5082; gene5424; gene7034; gene7049; gene7083; gene7282; gene7464; gene8144; gene8180; gene8375; gene8893; gene8935; gene9614; gene9850; gene10620; gene10623; gene10911; gene11099; gene11896; gene11927; gene12509; gene12517; gene13365; gene14942; gene15603; gene15960; gene16615; gene16616; gene17826; gene18262; gene19246; gene19771; gene20550; gene22418; gene24721; gene26110; gene26212; gene3_5de57afd; gene525_5de57afd
enriched_vs_control,20,binding,gene4336; gene9422; gene9934; gene12139; gene19246; gene272_5de57afd; gene582_5de57afd
enriched_vs_control,20,binding,gene542; gene849; gene2345; gene7271; gene10340; gene10341; gene10342; gene10343; gene10344; gene10345; gene12449; gene14883; gene23287; gene541; gene20305
enriched_vs_control,20,binding,gene1391; gene4828; gene4852; gene8031; gene662_5de57afd; gene630
enriched_vs_control,13.33333333,binding,gene1039; gene1126; gene2705; gene7083; gene7872; gene10642; gene11134; gene14844; gene15780; gene16615; gene16616; gene18155; gene19525; gene20298; gene25578
enriched_vs_control,6.25,heat shock protein binding,gene433; gene1273; gene1406; gene1618; gene3863; gene4249; gene4251; gene4587; gene5139; gene6834; gene8115; gene8146; gene8247; gene9637; gene10004; gene10640; gene10915; gene14390; gene14608; gene14977; gene15891; gene16615; gene16616; gene17018; gene20107; gene21348; gene22889; gene24637; gene25723; gene25935; gene26053; gene26229; gene721_5de57afd
enriched_vs_control,100,protein binding,gene4609
enriched_vs_control,50,protein binding,gene19196; gene19246
enriched_vs_control,100,protein binding,gene19246
enriched_vs_control,10,transport,gene1039; gene2066; gene2542; gene2867; gene3556; gene7083; gene9425; gene10268; gene12061; gene12831; gene13135; gene14500; gene16577; gene16615; gene16616; gene17072; gene18022; gene18497; gene18799; gene18817; gene19246; gene20008; gene20394; gene20485; gene23026; gene25600; gene25760; gene25761; gene26515; gene26520
enriched_vs_control,1.38121547,protein binding,gene38; gene74; gene123; gene129; gene130; gene138; gene166; gene168; gene189; gene194; gene213; gene264; gene266; gene278; gene285; gene288; gene293; gene295; gene316; gene400; gene440; gene441; gene461; gene478; gene482; gene502; gene543; gene544; gene548; gene550; gene572; gene574; gene576; gene593; gene594; gene595; gene598; gene610; gene612; gene625; gene635; gene653; gene654; gene751; gene757; gene764; gene775; gene778; gene779; gene789; gene842; gene846; gene847; gene880; gene923; gene969; gene979; gene981; gene1059; gene1067; gene1068; gene1127; gene1177; gene1189; gene1270; gene1273; gene1292; gene1302; gene1338; gene1364; gene1395; gene1441; gene1458; gene1489; gene1490; gene1521; gene1583; gene1589; gene1597; gene1598; gene1610; gene1619; gene1670; gene1700; gene1710; gene1712; gene1754; gene1755; gene1772; gene1805; gene1878; gene1882; gene1890; gene1899; gene1922; gene1952; gene1963; gene1975; gene1978; gene2041; gene2066; gene2121; gene2170; gene2171; gene2176; gene2200; gene2202; gene2203; gene2219; gene2229; gene2233; gene2234; gene2246; gene2256; gene2258; gene2262; gene2301; gene2357; gene2378; gene2388; gene2390; gene2391; gene2439; gene2462; gene2480; gene2481; gene2482; gene2483; gene2484; gene2485; gene2486; gene2487; gene2504; gene2510; gene2515; gene2518; gene2524; gene2549; gene2553; gene2563; gene2564; gene2612; gene2639; gene2669; gene2673; gene2674; gene2680; gene2687; gene2704; gene2705; gene2722; gene2725; gene2731; gene2747; gene2750; gene2766; gene2767; gene2775; gene2783; gene2799; gene2812; gene2817; gene2823; gene2825; gene2826; gene2849; gene2860; gene2863; gene2865; gene2868; gene2881; gene2914; gene2932; gene2995; gene2998; gene3011; gene3017; gene3029; gene3055; gene3067; gene3112; gene3152; gene3165; gene3169; gene3175; gene3181; gene3255; gene3294; gene3302; gene3329; gene3341; gene3343; gene3360; gene3361; gene3362; gene3378; gene3402; gene3417; gene3450; gene3460; gene3487; gene3510; gene3520; gene3548; gene3573; gene3596; gene3653; gene3682; gene3692; gene3716; gene3744; gene3750; gene3751; gene3770; gene3775; gene3848; gene3866; gene3910; gene3917; gene3957; gene3970; gene3977; gene3980; gene3986; gene3987; gene3999; gene4001; gene4054; gene4063; gene4077; gene4104; gene4140; gene4150; gene4155; gene4197; gene4198; gene4218; gene4240; gene4299; gene4313; gene4315; gene4348; gene4373; gene4377; gene4379; gene4401; gene4431; gene4511; gene4513; gene4515; gene4570; gene4586; gene4594; gene4606; gene4615; gene4635; gene4657; gene4658; gene4670; gene4688; gene4729; gene4749; gene4761; gene4762; gene4763; gene4764; gene4765; gene4766; gene4767; gene4768; gene4770; gene4771; gene4776; gene4780; gene4796; gene4809; gene4822; gene4827; gene4828; gene4838; gene4839; gene4840; gene4845; gene4852; gene4853; gene4854; gene4857; gene4879; gene4906; gene4912; gene4926; gene4930; gene4987; gene5007; gene5022; gene5041; gene5056; gene5058; gene5059; gene5065; gene5076; gene5077; gene5079; gene5089; gene5108; gene5109; gene5118; gene5147; gene5181; gene5183; gene5188; gene5205; gene5221; gene5236; gene5238; gene5251; gene5258; gene5271; gene5272; gene5275; gene5306; gene5329; gene5387; gene5389; gene5401; gene5405; gene5440; gene5450; gene5452; gene5453; gene5454; gene5487; gene5522; gene5529; gene5538; gene5563; gene5644; gene5656; gene5667; gene5677; gene5706; gene5708; gene5715; gene5733; gene5743; gene5783; gene5828; gene5834; gene5865; gene5884; gene5891; gene5896; gene5897; gene5960; gene5999; gene6044; gene6053; gene6070; gene6130; gene6140; gene6178; gene6201; gene6204; gene6239; gene6267; gene6278; gene6282; gene6352; gene6374; gene6375; gene6383; gene6425; gene6464; gene6548; gene6559; gene6600; gene6617; gene6658; gene6659; gene6663; gene6665; gene6667; gene6668; gene6676; gene6717; gene6756; gene6766; gene6834; gene6849; gene6864; gene6900; gene6901; gene6902; gene6909; gene6946; gene6959; gene6976; gene7028; gene7030; gene7074; gene7111; gene7112; gene7129; gene7162; gene7165; gene7172; gene7206; gene7230; gene7246; gene7279; gene7282; gene7307; gene7317; gene7318; gene7319; gene7320; gene7341; gene7346; gene7353; gene7362; gene7385; gene7402; gene7474; gene7487; gene7500; gene7517; gene7520; gene7522; gene7550; gene7551; gene7603; gene7613; gene7638; gene7717; gene7745; gene7746; gene7774; gene7784; gene7857; gene7873; gene7881; gene7920; gene7939; gene7950; gene7973; gene8041; gene8043; gene8073; gene8105; gene8108; gene8113; gene8122; gene8155; gene8181; gene8200; gene8208; gene8292; gene8306; gene8314; gene8343; gene8361; gene8377; gene8416; gene8467; gene8501; gene8502; gene8507; gene8508; gene8520; gene8524; gene8541; gene8545; gene8563; gene8610; gene8636; gene8637; gene8639; gene8642; gene8660; gene8661; gene8663; gene8670; gene8672; gene8688; gene8721; gene8749; gene8799; gene8813; gene8814; gene8815; gene8832; gene8890; gene8920; gene8928; gene8939; gene8940; gene8941; gene8942; gene8957; gene9001; gene9015; gene9016; gene9017; gene9029; gene9049; gene9129; gene9155; gene9168; gene9173; gene9179; gene9208; gene9237; gene9342; gene9343; gene9354; gene9355; gene9356; gene9375; gene9422; gene9457; gene9469; gene9477; gene9478; gene9484; gene9506; gene9509; gene9526; gene9539; gene9541; gene9552; gene9599; gene9604; gene9617; gene9618; gene9626; gene9636; gene9644; gene9678; gene9696; gene9793; gene9796; gene9809; gene9816; gene9818; gene9824; gene9849; gene9850; gene9853; gene9861; gene9862; gene9868; gene9884; gene9916; gene9919; gene9920; gene9927; gene9947; gene9971; gene9991; gene9995; gene9996; gene10002; gene10004; gene10012; gene10029; gene10059; gene10081; gene10101; gene10111; gene10115; gene10145; gene10168; gene10192; gene10214; gene10229; gene10268; gene10269; gene10284; gene10295; gene10354; gene10381; gene10457; gene10494; gene10515; gene10516; gene10550; gene10551; gene10552; gene10565; gene10570; gene10600; gene10607; gene10617; gene10658; gene10668; gene10673; gene10687; gene10716; gene10717; gene10718; gene10719; gene10731; gene10742; gene10796; gene10797; gene10798; gene10799; gene10829; gene10866; gene10915; gene10927; gene10950; gene10972; gene10983; gene11011; gene11083; gene11086; gene11099; gene11114; gene11116; gene11138; gene11173; gene11184; gene11188; gene11190; gene11195; gene11200; gene11205; gene11248; gene11256; gene11275; gene11361; gene11382; gene11410; gene11430; gene11439; gene11440; gene11441; gene11452; gene11460; gene11471; gene11511; gene11528; gene11529; gene11553; gene11576; gene11621; gene11627; gene11631; gene11669; gene11691; gene11727; gene11735; gene11757; gene11770; gene11771; gene11833; gene11834; gene11836; gene11837; gene11838; gene11842; gene11843; gene11852; gene11853; gene11913; gene11917; gene11922; gene11978; gene11989; gene12055; gene12066; gene12126; gene12128; gene12130; gene12139; gene12153; gene12166; gene12177; gene12230; gene12266; gene12304; gene12305; gene12308; gene12311; gene12333; gene12348; gene12356; gene12378; gene12393; gene12408; gene12427; gene12455; gene12491; gene12556; gene12560; gene12572; gene12600; gene12605; gene12632; gene12649; gene12665; gene12675; gene12734; gene12744; gene12757; gene12803; gene12819; gene12859; gene12897; gene12900; gene12913; gene12918; gene12928; gene12954; gene12962; gene12974; gene12985; gene12986; gene12988; gene13000; gene13005; gene13012; gene13013; gene13021; gene13038; gene13044; gene13062; gene13066; gene13105; gene13119; gene13126; gene13153; gene13154; gene13155; gene13164; gene13181; gene13184; gene13188; gene13201; gene13208; gene13224; gene13227; gene13229; gene13232; gene13233; gene13234; gene13254; gene13263; gene13265; gene13309; gene13312; gene13317; gene13368; gene13380; gene13439; gene13497; gene13530; gene13533; gene13544; gene13546; gene13549; gene13590; gene13594; gene13624; gene13690; gene13736; gene13784; gene13786; gene13809; gene13834; gene13869; gene13883; gene13892; gene13896; gene13926; gene13931; gene13970; gene13991; gene14023; gene14119; gene14169; gene14173; gene14200; gene14202; gene14235; gene14276; gene14284; gene14294; gene14310; gene14335; gene14372; gene14392; gene14417; gene14421; gene14425; gene14434; gene14548; gene14629; gene14667; gene14681; gene14705; gene14739; gene14741; gene14759; gene14772; gene14807; gene14815; gene14826; gene14849; gene14852; gene14873; gene14916; gene14937; gene14946; gene14952; gene14988; gene15000; gene15015; gene15079; gene15104; gene15107; gene15108; gene15110; gene15113; gene15116; gene15177; gene15190; gene15191; gene15238; gene15248; gene15302; gene15314; gene15359; gene15382; gene15387; gene15397; gene15399; gene15407; gene15408; gene15410; gene15428; gene15442; gene15452; gene15476; gene15492; gene15497; gene15498; gene15562; gene15579; gene15580; gene15620; gene15643; gene15659; gene15660; gene15713; gene15715; gene15731; gene15807; gene15822; gene15873; gene15896; gene15898; gene15900; gene15965; gene15973; gene15974; gene15981; gene16006; gene16007; gene16008; gene16057; gene16067; gene16163; gene16181; gene16205; gene16206; gene16219; gene16220; gene16240; gene16258; gene16264; gene16265; gene16291; gene16292; gene16322; gene16334; gene16346; gene16412; gene16419; gene16421; gene16435; gene16452; gene16454; gene16465; gene16466; gene16536; gene16538; gene16544; gene16589; gene16604; gene16614; gene16615; gene16616; gene16627; gene16628; gene16642; gene16687; gene16691; gene16694; gene16708; gene16710; gene16767; gene16784; gene16790; gene16798; gene16803; gene16815; gene16840; gene16844; gene16865; gene16883; gene16911; gene16912; gene16921; gene16922; gene16951; gene16958; gene16991; gene17006; gene17018; gene17072; gene17110; gene17120; gene17131; gene17134; gene17177; gene17180; gene17198; gene17253; gene17277; gene17278; gene17290; gene17313; gene17318; gene17320; gene17368; gene17376; gene17378; gene17386; gene17431; gene17463; gene17484; gene17494; gene17497; gene17500; gene17504; gene17565; gene17567; gene17582; gene17583; gene17604; gene17607; gene17637; gene17657; gene17660; gene17696; gene17698; gene17728; gene17758; gene17778; gene17802; gene17808; gene17823; gene17850; gene17915; gene17932; gene18027; gene18029; gene18045; gene18046; gene18051; gene18094; gene18104; gene18118; gene18120; gene18121; gene18127; gene18140; gene18144; gene18152; gene18155; gene18159; gene18161; gene18166; gene18175; gene18176; gene18179; gene18185; gene18276; gene18315; gene18336; gene18340; gene18416; gene18442; gene18477; gene18478; gene18487; gene18519; gene18529; gene18543; gene18544; gene18546; gene18565; gene18573; gene18576; gene18630; gene18639; gene18701; gene18702; gene18726; gene18739; gene18819; gene18850; gene18851; gene18888; gene18898; gene18899; gene18913; gene18930; gene18933; gene18980; gene19005; gene19006; gene19008; gene19030; gene19044; gene19063; gene19064; gene19070; gene19071; gene19072; gene19084; gene19087; gene19088; gene19147; gene19178; gene19181; gene19186; gene19189; gene19198; gene19199; gene19204; gene19211; gene19216; gene19229; gene19241; gene19246; gene19247; gene19271; gene19279; gene19286; gene19292; gene19309; gene19330; gene19357; gene19426; gene19434; gene19444; gene19474; gene19483; gene19508; gene19516; gene19525; gene19533; gene19536; gene19538; gene19572; gene19588; gene19607; gene19624; gene19641; gene19642; gene19646; gene19655; gene19658; gene19662; gene19669; gene19692; gene19707; gene19734; gene19748; gene19772; gene19795; gene19802; gene19807; gene19818; gene19819; gene19820; gene19857; gene19866; gene19900; gene19915; gene19922; gene19924; gene19939; gene19972; gene19980; gene19998; gene20017; gene20027; gene20094; gene20127; gene20177; gene20179; gene20206; gene20272; gene20276; gene20278; gene20321; gene20331; gene20342; gene20347; gene20350; gene20356; gene20360; gene20362; gene20375; gene20376; gene20382; gene20438; gene20467; gene20488; gene20500; gene20521; gene20528; gene20556; gene20614; gene20617; gene20619; gene20621; gene20624; gene20649; gene20659; gene20662; gene20664; gene20669; gene20675; gene20685; gene20688; gene20712; gene20722; gene20733; gene20745; gene20799; gene20805; gene20831; gene20848; gene20853; gene20945; gene20947; gene21009; gene21013; gene21026; gene21041; gene21048; gene21072; gene21078; gene21102; gene21170; gene21183; gene21193; gene21205; gene21219; gene21220; gene21221; gene21222; gene21232; gene21236; gene21251; gene21306; gene21342; gene21368; gene21391; gene21404; gene21406; gene21411; gene21422; gene21455; gene21463; gene21510; gene21544; gene21564; gene21567; gene21568; gene21603; gene21619; gene21622; gene21633; gene21689; gene21700; gene21780; gene21787; gene21802; gene21806; gene21813; gene21822; gene21847; gene21856; gene21863; gene21866; gene21870; gene21882; gene21895; gene21912; gene21940; gene21945; gene21996; gene22005; gene22011; gene22023; gene22058; gene22061; gene22073; gene22077; gene22082; gene22195; gene22224; gene22228; gene22239; gene22292; gene22327; gene22335; gene22347; gene22349; gene22361; gene22402; gene22427; gene22452; gene22467; gene22483; gene22485; gene22496; gene22501; gene22517; gene22553; gene22556; gene22557; gene22577; gene22606; gene22632; gene22646; gene22685; gene22687; gene22694; gene22741; gene22748; gene22749; gene22750; gene22755; gene22784; gene22788; gene22805; gene22863; gene22869; gene22875; gene22890; gene22897; gene22919; gene22959; gene22961; gene22970; gene22987; gene23054; gene23083; gene23092; gene23101; gene23124; gene23144; gene23159; gene23174; gene23191; gene23224; gene23228; gene23242; gene23246; gene23254; gene23262; gene23347; gene23351; gene23352; gene23374; gene23418; gene23447; gene23539; gene23608; gene23613; gene23620; gene23646; gene23649; gene23687; gene23743; gene23782; gene23792; gene23817; gene23849; gene23853; gene23869; gene23871; gene23879; gene23885; gene23890; gene23911; gene23936; gene23984; gene23996; gene23998; gene24032; gene24106; gene24166; gene24172; gene24202; gene24312; gene24361; gene24374; gene24398; gene24408; gene24460; gene24472; gene24497; gene24505; gene24506; gene24509; gene24517; gene24530; gene24536; gene24540; gene24633; gene24649; gene24706; gene24707; gene24724; gene24733; gene24751; gene24756; gene24800; gene24861; gene24902; gene24904; gene24930; gene25001; gene25028; gene25038; gene25071; gene25080; gene25102; gene25114; gene25144; gene25163; gene25186; gene25229; gene25233; gene25234; gene25238; gene25265; gene25288; gene25317; gene25346; gene25356; gene25405; gene25409; gene25470; gene25487; gene25515; gene25535; gene25577; gene25600; gene25625; gene25643; gene25645; gene25708; gene25714; gene25727; gene25755; gene25763; gene25803; gene25817; gene25818; gene25831; gene25845; gene25850; gene25851; gene25917; gene25935; gene25936; gene25939; gene25969; gene26023; gene26034; gene26064; gene26079; gene26084; gene26085; gene26110; gene26142; gene26147; gene26149; gene26166; gene26167; gene26174; gene26185; gene26193; gene26203; gene26214; gene26241; gene26258; gene26260; gene26285; gene26309; gene26311; gene26338; gene26381; gene26390; gene26408; gene26427; gene26454; gene26455; gene26464; gene26505; gene26549; gene26559; gene26621; gene26647; gene26685; gene26735; gene26758; gene26833; Pver_novel_model_26_5de57afd; Pver_novel_model_59_5de57afd; Pver_novel_model_60_5de57afd; Pver_novel_model_118_5de57afd; Pver_novel_model_133_5de57afd; Pver_novel_model_259_5de57afd; Pver_novel_model_270_5de57afd; Pver_novel_model_290_5de57afd; Pver_novel_model_354_5de57afd; Pver_novel_model_406_5de57afd; Pver_novel_model_437_5de57afd; Pver_novel_model_486_5de57afd; Pver_novel_model_495_5de57afd; Pver_novel_model_669_5de57afd; Pver_novel_model_773_5de57afd; Pver_novel_model_817_5de57afd; Pver_split_gene_g6071-g6071; gene1394; gene11150; gene20580; gene11247; gene11835; gene15125; gene18237; gene20943; gene21036; gene22145; gene22190; gene24030
enriched_vs_control,50,binding,gene13135; gene19246
enriched_vs_control,20,binding,gene9422; gene9614; gene13135; gene14771; gene19246
enriched_vs_control,50,binding,gene14771; gene19246
enriched_vs_control,6.25,heat shock protein binding,gene264; gene1819; gene2650; gene2812; gene2997; gene4249; gene4251; gene4415; gene4489; gene5449; gene7186; gene7679; gene7680; gene8115; gene8247; gene8814; gene8888; gene9366; gene10004; gene10640; gene10789; gene11047; gene11462; gene12407; gene12572; gene14608; gene14914; gene14977; gene15359; gene15561; gene15599; gene16290; gene16362; gene16604; gene16615; gene16616; gene16642; gene16644; gene17729; gene17991; gene18707; gene18724; gene20825; gene21002; gene24323; gene26098; gene26099; gene7377
enriched_vs_control,100,binding,gene16604
enriched_vs_control,5.633802817,binding,gene217; gene218; gene219; gene996; gene1842; gene2042; gene2509; gene2643; gene4282; gene6540; gene6636; gene7060; gene7102; gene7625; gene7747; gene8101; gene10696; gene10722; gene11434; gene11435; gene11487; gene11531; gene12417; gene12819; gene13886; gene13888; gene13943; gene15042; gene16709; gene16890; gene20284; gene23613; gene23740; gene23778; gene24328; gene24986; gene25328; gene25406; gene26406; gene70_5de57afd; gene84; gene284; gene2912; gene7142; gene8974; gene9041; gene11472; gene14928; gene15909; gene18144; gene20093; gene20861; gene23502; gene24663; gene24919; gene25060; gene25650; gene25980; gene606_5de57afd; gene1644; gene1645; gene1650; gene5525; gene5526; gene18898; gene19794; gene9004; gene9040; gene9042; gene20735; gene22595; gene22604; gene25527
enriched_vs_control,33.33333333,binding,gene6018; gene7570; gene12535
enriched_vs_control,100,catalytic activity,gene15639
enriched_vs_control,20,catalytic activity,gene2049; gene11755; gene14756; gene470_5de57afd; gene12098; gene10665
enriched_vs_control,18.18181818,catalytic activity,gene7166; gene11748; gene11749; gene14589; gene14810; gene14862; gene15169; gene15783; gene15784; gene16737; gene22809; gene751_5de57afd
enriched_vs_control,50,catalytic activity,gene2055; gene13043
enriched_vs_control,50,catalytic activity,gene16339; gene15241
enriched_vs_control,33.33333333,catalytic activity,gene778; gene24733; gene26142
enriched_vs_control,10.52631579,catalytic activity,gene1323; gene1324; gene2951; gene6748; gene8579; gene14124; gene17210; gene26051; gene1325; gene5371; gene6302; gene7331; gene8578; gene14123; gene14125; gene14126; gene14127; gene18337; gene25586; gene553_5de57afd
enriched_vs_control,50,catalytic activity,gene14315; gene15981; gene486_5de57afd
enriched_vs_control,20,catalytic activity,gene1376; gene7149; gene16312; gene25848; gene18237
enriched_vs_control,100,catalytic activity,gene5863
enriched_vs_control,33.33333333,catalytic activity,gene542; gene849; gene20305
enriched_vs_control,50,catalytic activity,gene23763; gene26149
enriched_vs_control,100,catalytic activity,gene26149
enriched_vs_control,33.33333333,catalytic activity,gene541; gene542; gene849
enriched_vs_control,33.33333333,catalytic activity,gene4188; gene4796; gene10560
enriched_vs_control,100,catalytic activity,gene16312
enriched_vs_control,33.33333333,catalytic activity,gene846; gene14739; gene18546
enriched_vs_control,33.33333333,catalytic activity,gene8101; gene23871; gene15293
enriched_vs_control,9.523809524,catalytic activity,gene138; gene2258; gene3034; gene7570; gene8292; gene8729; gene9210; gene11619; gene11702; gene14363; gene15713; gene16979; gene17111; gene18142; gene20617; gene21912; gene23020; gene23093; gene25533; gene25964; gene26281
enriched_vs_control,25,catalytic activity,gene12577; gene14740; gene25471; gene23926
enriched_vs_control,33.33333333,catalytic activity,gene13135; gene14771; gene19246
enriched_vs_control,20,catalytic activity,gene2426; gene9611; gene15035; gene24232; gene15034
enriched_vs_control,50,catalytic activity,gene24733; gene26142
enriched_vs_control,33.33333333,catalytic activity,gene542; gene849; gene8963
enriched_vs_control,2.059925094,catalytic activity,gene216; gene217; gene218; gene219; gene233; gene501; gene741; gene1041; gene1058; gene1091; gene1258; gene1470; gene1668; gene1669; gene1919; gene2050; gene2078; gene2284; gene2377; gene2708; gene2863; gene2953; gene3286; gene3335; gene3679; gene4017; gene4018; gene4082; gene4130; gene4131; gene4188; gene4282; gene4396; gene4460; gene4586; gene4588; gene5110; gene5434; gene5518; gene5679; gene5696; gene5772; gene5885; gene5973; gene6017; gene6312; gene6377; gene6716; gene6735; gene7043; gene7060; gene7297; gene7421; gene7518; gene7523; gene7555; gene7634; gene7635; gene7856; gene8357; gene8397; gene8461; gene8659; gene8749; gene8800; gene8801; gene8811; gene9000; gene9232; gene9264; gene9265; gene9621; gene9660; gene9661; gene9664; gene9790; gene10257; gene10258; gene10581; gene10582; gene10906; gene10907; gene10914; gene10970; gene11022; gene11547; gene12064; gene12089; gene12174; gene12180; gene12275; gene12276; gene12277; gene12278; gene12288; gene12312; gene12556; gene13043; gene13087; gene13088; gene13092; gene13114; gene13299; gene13375; gene13399; gene13462; gene13584; gene13886; gene14562; gene14798; gene15078; gene15079; gene15455; gene15545; gene15709; gene15821; gene16023; gene16308; gene16509; gene16673; gene17321; gene17475; gene17640; gene17641; gene17806; gene18100; gene18192; gene18193; gene18228; gene18379; gene18811; gene18859; gene19092; gene19469; gene20296; gene21021; gene21580; gene22734; gene23440; gene23532; gene23711; gene23840; gene23889; gene24065; gene24418; gene24428; gene24436; gene24484; gene24570; gene24631; gene24763; gene24782; gene25013; gene25193; gene25252; gene25273; gene25390; gene25392; gene25469; gene25980; gene25983; gene26037; gene26231; gene70_5de57afd; gene440_5de57afd; gene160; gene225; gene264; gene283; gene291; gene502; gene564; gene652; gene702; gene738; gene751; gene773; gene875; gene996; gene1020; gene1048; gene1062; gene1145; gene1243; gene1341; gene1343; gene1349; gene1398; gene1400; gene1528; gene1586; gene1682; gene1713; gene1862; gene1871; gene1953; gene2042; gene2100; gene2101; gene2220; gene2509; gene2558; gene2559; gene2560; gene2584; gene2828; gene2829; gene2858; gene2860; gene2869; gene2870; gene3036; gene3047; gene3158; gene3341; gene3343; gene3360; gene3361; gene3378; gene3411; gene3417; gene3431; gene3491; gene3716; gene3836; gene4241; gene4246; gene4248; gene4380; gene4442; gene4563; gene4701; gene4709; gene5020; gene5028; gene5149; gene5253; gene5410; gene5438; gene5482; gene5542; gene5775; gene5907; gene5971; gene5972; gene5996; gene6225; gene6636; gene6692; gene6742; gene6753; gene6756; gene6776; gene6890; gene6937; gene7077; gene7102; gene7160; gene7230; gene7247; gene7282; gene7403; gene7404; gene7580; gene7625; gene7714; gene7940; gene7944; gene8077; gene8083; gene8085; gene8109; gene8158; gene8190; gene8196; gene8271; gene8306; gene8650; gene8684; gene8799; gene8875; gene9029; gene9041; gene9087; gene9521; gene9522; gene9538; gene9617; gene9618; gene9658; gene9684; gene9746; gene9805; gene9815; gene9816; gene9817; gene9818; gene9860; gene9866; gene9867; gene9893; gene9950; gene9951; gene9991; gene10026; gene10107; gene10149; gene10615; gene10616; gene10723; gene10829; gene10869; gene10927; gene10948; gene11088; gene11099; gene11274; gene11345; gene11459; gene11472; gene11487; gene11531; gene11660; gene11661; gene11722; gene11723; gene12029; gene12108; gene12133; gene12155; gene12168; gene12169; gene12243; gene12289; gene12307; gene12311; gene12322; gene12378; gene12417; gene12778; gene12781; gene12819; gene12903; gene13037; gene13139; gene13195; gene13197; gene13544; gene13587; gene13588; gene13746; gene13791; gene13888; gene14074; gene14097; gene14145; gene14375; gene14378; gene14399; gene14479; gene14480; gene14928; gene14933; gene14982; gene15015; gene15021; gene15141; gene15213; gene15225; gene15397; gene15399; gene15554; gene15556; gene15557; gene15563; gene15565; gene15598; gene15639; gene15724; gene15909; gene16301; gene16322; gene16323; gene16365; gene16453; gene16626; gene16628; gene17135; gene17539; gene17565; gene17642; gene17863; gene18144; gene18163; gene18164; gene18249; gene18313; gene18319; gene18532; gene18540; gene18640; gene18793; gene18934; gene19142; gene19191; gene19310; gene19317; gene19329; gene20093; gene20284; gene20355; gene20538; gene20630; gene20669; gene20760; gene20798; gene20812; gene21037; gene21495; gene22805; gene22815; gene22867; gene22988; gene23262; gene23265; gene23293; gene23294; gene23295; gene23296; gene23501; gene23515; gene23517; gene23541; gene23542; gene23559; gene23583; gene23609; gene23613; gene23642; gene23645; gene23647; gene23778; gene23821; gene23841; gene23869; gene23871; gene23908; gene24032; gene24136; gene24150; gene24153; gene24177; gene24226; gene24252; gene24359; gene24360; gene24385; gene24412; gene24513; gene24561; gene24575; gene24583; gene24606; gene24659; gene24663; gene24710; gene24778; gene24832; gene24854; gene24916; gene24946; gene24959; gene24986; gene24989; gene24990; gene24992; gene25030; gene25060; gene25179; gene25184; gene25307; gene25313; gene25328; gene25406; gene25650; gene25701; gene25791; gene25851; gene25943; gene25971; gene26012; gene26068; gene26075; gene26149; gene26224; gene26360; gene26406; gene26447; gene26557; gene26660; gene270_5de57afd; gene373_5de57afd; gene669_5de57afd; gene25; gene7241; gene9898; gene11139; gene16761; gene18898; gene20487; gene23584; gene23639; gene23816; gene24280; gene25411; gene984; gene985; gene1287; gene1715; gene5430; gene7405; gene8235; gene8284; gene8980; gene9523; gene9745; gene10560; gene11247; gene11835; gene12791; gene19964; gene20292; gene20783; gene20943; gene21036; gene22145; gene22190; gene24030; gene25527
enriched_vs_control,5,catalytic activity,gene8843; gene9305; gene16023; gene20133; gene24940; gene95_5de57afd; gene284; gene611; gene778; gene840; gene923; gene1398; gene2055; gene4402; gene5579; gene6312; gene7142; gene7160; gene7691; gene8989; gene9087; gene9824; gene11056; gene11434; gene11435; gene11671; gene12417; gene12632; gene12837; gene13043; gene15000; gene20861; gene24452; gene24503; gene24733; gene25255; gene25363; gene26142; gene606_5de57afd; gene2054; gene5769; gene9731
enriched_vs_control,20,catalytic activity,gene22; gene9637; gene24018; gene5518; gene6370
enriched_vs_control,16.66666667,catalytic activity,gene3290; gene10556; gene11135; gene13222; gene13770; gene16367; gene18888; gene19771; gene23166; gene23722; gene25262; gene4546
enriched_vs_control,25,catalytic activity,gene6370; gene12425; gene5518; gene24018
enriched_vs_control,100,catalytic activity,gene1842; gene26406
enriched_vs_control,20,catalytic activity,gene774; gene4700; gene14851; gene24637; gene25690
enriched_vs_control,100,catalytic activity,gene18067
enriched_vs_control,100,catalytic activity,gene18067
